lon,lat,target,slope,landuse,panarcurvature,profilecurvature,NDVI,Soil,sratumboundarydistance,geomorphictype,fracturedistance,geologicalrockdistance,rivernetworkdistance,DEM,geologicalstructure
110.19639009,28.1258452268,1,-0.024972405,0.5415866,-0.05008363,-0.09718881,0.6621341,0.20304403,0.07058494,0.17795748,0.13058236,0.14363644,0.05248923,0.44918767,0.08240824
110.37616662727063,28.511541583979422,0,-0.09854903,-0.29650906,0.019793568,-0.04824313,-0.48711532,0.20304403,0.077572934,0.17795748,0.010857516,0.14363644,0.073407084,0.44918767,0.0634597
109.6210675872146,26.86155929535253,0,-0.024972405,-0.29650906,-0.32781467,-0.52874833,-0.6497661,-0.18903372,0.089618094,0.3385595,0.13058236,-0.26613727,0.073407084,-0.06782815,0.08431814
109.547781844,26.9850145044,1,0.24909371,0.5953779,0.061805528,-0.015129578,0.61501485,-0.18903372,0.07058494,0.3385595,0.13058236,0.11367501,-0.09390611,-0.3073138,0.08240824
110.27093135468864,27.990413057722463,0,-0.27876917,-0.29650906,0.019793568,-0.015129578,0.061717357,0.12438375,-0.1107438,0.17795748,-0.047372606,0.11367501,0.05248923,0.2176154,-0.11980563
110.560277709,28.6691830176,1,-0.27876917,0.5953779,-0.05008363,-0.52874833,0.45598328,-0.1449181,-0.1107438,0.17795748,-0.076221325,0.14363644,-0.05003391,0.2176154,-0.11980563
109.991111946,26.8541809555,1,0.24909371,-0.29650906,0.13169196,0.15478253,0.62931603,0.12438375,0.07058494,0.3385595,-0.03502916,0.2797376,0.05248923,0.2176154,0.08240824
110.871393871,27.9566825076,1,-0.27876917,-0.29650906,-0.05008363,-0.09718881,-0.6497661,0.12438375,0.07058494,-0.20597248,0.0,0.14363644,0.0,0.2176154,0.08240824
110.13009803927142,28.44870665162308,0,-0.024972405,-0.29650906,0.13169196,-0.09718881,0.061717357,-0.01163749,0.020495411,0.17795748,-0.047372606,0.14363644,0.05248923,0.2176154,0.019120714
109.881945966,27.3689002931,1,-0.024972405,-0.29650906,-0.10880066,-0.04824313,-0.48711532,0.12438375,-0.04714875,-0.10804622,-0.047372606,-0.16373935,0.05248923,0.2176154,-0.045858987
110.58583608,27.4394533934,1,-0.27876917,0.5953779,-0.32781467,-0.52874833,0.6621341,-0.18903372,-0.1107438,0.11376916,-0.047372606,0.2797376,-0.05003391,-0.43917856,-0.11980563
110.86249456329628,27.90221486250821,0,-0.09854903,-0.29650906,0.061805528,-0.09718881,-0.6497661,-0.1449181,0.089618094,-0.20597248,-0.076221325,0.14363644,-0.1736689,-0.52992666,0.08431814
110.478807893623,28.173406706870228,0,-0.024972405,-0.29650906,0.061805528,-0.25610235,-0.6497661,0.12438375,0.089618094,-0.33374286,-0.03502916,-0.3798687,0.2191999,-0.3073138,0.08431814
